city,year,treat,batch,first_treat_year
临沧市,2000,0,0,0
临沧市,2001,0,0,0
临沧市,2002,0,0,0
临沧市,2003,0,0,0
临沧市,2004,0,0,0
临沧市,2005,0,0,0
临沧市,2006,0,0,0
临沧市,2007,0,0,0
临沧市,2008,0,0,0
临沧市,2009,0,0,0
临沧市,2010,0,0,0
临沧市,2011,0,0,0
临沧市,2012,0,0,0
临沧市,2013,0,0,0
临沧市,2014,0,0,0
临沧市,2015,0,0,0
临沧市,2016,0,0,0
临沧市,2017,0,0,0
临沧市,2018,0,0,0
临沧市,2019,0,0,0
临沧市,2020,0,0,0
临沧市,2021,0,0,0
临沧市,2022,0,0,0
临沧市,2023,0,0,0
丹东市,1990,0,0,0
丹东市,1991,0,0,0
丹东市,1992,0,0,0
丹东市,1993,0,0,0
丹东市,1994,0,0,0
丹东市,1995,0,0,0
丹东市,1996,0,0,0
丹东市,1997,0,0,0
丹东市,1998,0,0,0
丹东市,1999,0,0,0
丹东市,2000,0,0,0
丹东市,2001,0,0,0
丹东市,2002,0,0,0
丹东市,2003,0,0,0
丹东市,2004,0,0,0
丹东市,2005,0,0,0
丹东市,2006,0,0,0
丹东市,2007,0,0,0
丹东市,2008,0,0,0
丹东市,2009,0,0,0
丹东市,2010,0,0,0
丹东市,2011,0,0,0
丹东市,2012,0,0,0
丹东市,2013,0,0,0
丹东市,2014,0,0,0
丹东市,2015,0,0,0
丹东市,2016,0,0,0
丹东市,2017,0,0,0
丹东市,2018,0,0,0
丹东市,2019,0,0,0
丹东市,2020,0,0,0
丹东市,2021,0,0,0
丹东市,2022,0,0,0
丹东市,2023,0,0,0
丽水市,1990,0,0,0
丽水市,1991,0,0,0
丽水市,1992,0,0,0
丽水市,1993,0,0,0
丽水市,1994,0,0,0
丽水市,1995,0,0,0
丽水市,1996,0,0,0
丽水市,1997,0,0,0
丽水市,1998,0,0,0
丽水市,1999,0,0,0
丽水市,2000,0,0,0
丽水市,2001,0,0,0
丽水市,2002,0,0,0
丽水市,2003,0,0,0
丽水市,2004,0,0,0
丽水市,2005,0,0,0
丽水市,2006,0,0,0
丽水市,2007,0,0,0
丽水市,2008,0,0,0
丽水市,2009,0,0,0
丽水市,2010,0,0,0
丽水市,2011,0,0,0
丽水市,2012,0,0,0
丽水市,2013,0,0,0
丽水市,2014,0,0,0
丽水市,2015,0,0,0
丽水市,2016,0,0,0
丽水市,2017,0,0,0
丽水市,2018,0,0,0
