Year,Month,News_Based_Policy_Uncert_Index
1947,3,96.715603
1947,4,114.07221
1947,5,120.83938
1947,6,104.32714
1947,7,83.291639
1947,8,82.970031
1947,9,84.244461
1947,10,63.5175
1947,11,101.66552
1947,12,87.830452
1948,1,88.505673
1948,2,63.11259
1948,3,52.887754
1948,4,64.304739
1948,5,51.275862
1948,6,54.712696
1948,7,65.230483
1948,8,51.403927
1948,9,76.217524
1948,10,68.996155
1948,11,68.201441
1948,12,58.426989
1949,1,102.56137
1949,2,72.502304
1949,3,58.470411
1949,4,54.15279
1949,5,44.314936
1949,6,56.181905
1949,7,66.256064
1949,8,52.864661
1949,9,53.800792
1949,10,48.691026
1949,11,37.552612
1949,12,48.727832
1950,1,74.302175
1950,2,49.593247
1950,3,39.71389
1950,4,42.239509
1950,5,41.58758
1950,6,60.904845
1950,7,78.202217
1950,8,66.343708
1950,9,57.427308
1950,10,55.636002
1950,11,72.267318
1950,12,67.387686
1951,1,97.290511
1951,2,51.64267
1951,3,54.941666
1951,4,60.767741
1951,5,65.612597
1951,6,60.474367
1951,7,88.519157
1951,8,55.529888
1951,9,51.520909
1951,10,45.350297
1951,11,41.270492
1951,12,35.979608
1952,1,70.919305
1952,2,42.192405
1952,3,43.067229
1952,4,42.347912
1952,5,62.859593
1952,6,65.035355
1952,7,58.371017
1952,8,41.556635
1952,9,40.625431
1952,10,63.926063
1952,11,50.28922
1952,12,48.104597
1953,1,42.517095
1953,2,42.601205
1953,3,72.761102
1953,4,58.257577
1953,5,44.270151
1953,6,74.449162
1953,7,53.862387
1953,8,44.873167
1953,9,33.665801
1953,10,47.951669
1953,11,56.218007
1953,12,52.97911
1954,1,70.05538
1954,2,66.41369
1954,3,54.562034
1954,4,33.644027
1954,5,36.600583
1954,6,57.603011
1954,7,35.611303
1954,8,36.31647
1954,9,44.309735
1954,10,43.427095
1954,11,42.832805
1954,12,32.903359
1955,1,55.490548
1955,2,53.741641
1955,3,42.5716
1955,4,40.431466
1955,5,35.331102
1955,6,23.621899
1955,7,26.707142
1955,8,32.802342
1955,9,30.295134
1955,10,30.726997
1955,11,36.975622
1955,12,28.03238
1956,1,51.984459
1956,2,50.987111
1956,3,45.707925
1956,4,38.203585
1956,5,30.228871
1956,6,29.775597
1956,7,40.887385
1956,8,28.826006
1956,9,21.94447
1956,10,33.70363
1956,11,48.464211
1956,12,40.628291
1957,1,56.511063
1957,2,43.276492
1957,3,30.222922
1957,4,30.692184
1957,5,32.471822
1957,6,40.46622
1957,7,41.431236
1957,8,37.400617
1957,9,25.656452
1957,10,23.64754
1957,11,38.606124
1957,12,44.438808
1958,1,49.839798
1958,2,41.427325
1958,3,39.76089
1958,4,39.661289
1958,5,53.746294
1958,6,42.007589
1958,7,44.657295
1958,8,30.381444
1958,9,23.560763
1958,10,30.090589
1958,11,34.483238
1958,12,36.668779
1959,1,32.461146
1959,2,35.484172
1959,3,32.481579
1959,4,30.383096
1959,5,26.526942
1959,6,27.02229
1959,7,31.604962
1959,8,30.146258
1959,9,33.905359
1959,10,26.407219
1959,11,27.319738
1959,12,33.625047
1960,1,45.835265
1960,2,43.393408
1960,3,26.086863
1960,4,34.078098
1960,5,34.762743
1960,6,33.491454
1960,7,38.621431
1960,8,37.138478
1960,9,33.123469
1960,10,32.353351
1960,11,49.293687
1960,12,33.63793
1961,1,45.982192
1961,2,30.763588
1961,3,29.457746
1961,4,22.453486
1961,5,34.992017
1961,6,42.024407
1961,7,34.116697
1961,8,39.54564
1961,9,34.108347
1961,10,29.784791
1961,11,37.856691
1961,12,34.208319
1962,1,43.648523
1962,2,28.510251
1962,3,31.648828
1962,4,35.066874
1962,5,29.902374
1962,6,53.725142
1962,7,51.636061
1962,8,55.122466
1962,9,49.972101
1962,10,43.532445
1962,11,38.790695
1962,12,41.248288
1963,1,58.06333
1963,2,54.327137
1963,3,40.606709
1963,4,34.923991
1963,5,39.974273
1963,6,45.99355
1963,7,49.303311
1963,8,41.850393
1963,9,47.057767
1963,10,34.410597
1963,11,39.347927
1963,12,49.66394
1964,1,49.510945
1964,2,35.378969
1964,3,44.78542
1964,4,34.709208
1964,5,28.515474
1964,6,40.306549
1964,7,35.536291
1964,8,52.334982
1964,9,43.928976
1964,10,36.56494
1964,11,43.798622
1964,12,50.157332
1965,1,36.329176
1965,2,38.10834
1965,3,25.874006
1965,4,43.396586
1965,5,40.649672
1965,6,45.556382
1965,7,41.390096
1965,8,44.432229
1965,9,37.944913
1965,10,38.315129
1965,11,34.244881
1965,12,55.079592
1966,1,59.78347
1966,2,45.875634
1966,3,47.213978
1966,4,29.717225
1966,5,51.000795
1966,6,34.281205
1966,7,46.006152
1966,8,46.762542
1966,9,49.388443
1966,10,56.475368
1966,11,49.028214
1966,12,61.449037
1967,1,66.877558
1967,2,49.591847
1967,3,49.358001
1967,4,43.058976
1967,5,49.81781
1967,6,77.291921
1967,7,42.298459
1967,8,46.590291
1967,9,39.520466
1967,10,62.879529
1967,11,64.618301
1967,12,67.470951
1968,1,106.39666
1968,2,60.624266
1968,3,91.104985
1968,4,76.415037
1968,5,60.484087
1968,6,54.040808
1968,7,56.493482
1968,8,52.048491
1968,9,42.701258
1968,10,53.073606
1968,11,67.579495
1968,12,56.198278
1969,1,65.947636
1969,2,59.591779
1969,3,57.02036
1969,4,53.195011
1969,5,51.766223
1969,6,50.305341
1969,7,63.030613
1969,8,51.621155
1969,9,47.247198
1969,10,55.90609
1969,11,54.524258
1969,12,74.22594
1970,1,56.043009
1970,2,42.546255
1970,3,40.658955
1970,4,42.451491
1970,5,75.378498
1970,6,69.621457
1970,7,49.262008
1970,8,43.846407
1970,9,58.802502
1970,10,47.584831
1970,11,58.351814
1970,12,70.270733
1971,1,69.003319
1971,2,59.02602
1971,3,56.236833
1971,4,54.907638
1971,5,56.698597
1971,6,71.190127
1971,7,71.032694
1971,8,97.005576
1971,9,77.793262
1971,10,72.917749
1971,11,113.88129
1971,12,80.251959
1972,1,83.310012
1972,2,53.166992
1972,3,62.708553
1972,4,58.783188
1972,5,72.427418
1972,6,57.130978
1972,7,64.586244
1972,8,60.905578
1972,9,63.52885
1972,10,56.235114
1972,11,75.426951
1972,12,66.058321
1973,1,92.82371
1973,2,82.566854
1973,3,82.17805
1973,4,72.552453
1973,5,82.024544
1973,6,98.064489
1973,7,80.311894
1973,8,99.787659
1973,9,62.645262
1973,10,103.71815
1973,11,101.72005
1973,12,112.02032
1974,1,118.71156
1974,2,109.72602
1974,3,99.993692
1974,4,77.313702
1974,5,105.90606
